Grade,Subject,Topic,Description,Resource 1,Resource 2,Resource 3
Grade 2,Social Studies,"Paggamit ng mga Pangunahing Direksyon (Hilaga, Timog, Silangan, Kanluran) sa pagtukoy ng kinalalagyan",,,,
Grade 2,Social Studies,"Paggamit ng Pangalawang Direksyon (Hilagang-Silangan, Hilagang-Kanluran, Timog-Silangan, Timog-Kanluran)",,,,
Grade 2,Social Studies,Pagbasa at pagguhit ng payak na mapa ng sariling komunidad gamit ang mga pananda at simbolo,,,,
Grade 2,Social Studies,Paggawa ng simpleng mapa ng ruta mula tahanan patungong paaralan,,,,
Grade 2,Social Studies,"Mga Anyong Lupa sa Komunidad: Bundok, burol, bulkan, kapatagan, lambak, talampas, pulo",,,,
Grade 2,Social Studies,"Mga Anyong Tubig sa Komunidad: Karagatan, dagat, ilog, lawa, look, talon, bukal, sapa",,,,
Grade 2,Social Studies,Klima at Panahon sa Komunidad: Tag-ulan at Tag-araw sa Pilipinas,,,,
Grade 2,Social Studies,"Epekto ng lokasyon, anyong lupa, at anyong tubig sa uri ng pamumuhay at hanapbuhay ng mga tao",,,,
Grade 2,Social Studies,"Mga Likas na Yaman ng Komunidad: Yamang Lupa, Yamang Tubig, Yamang Gubat, at Yamang Mineral",,,,
Grade 2,Social Studies,"Wastong paggamit, pangangalaga, at pagtitipid sa mga likas na yaman ng sariling komunidad",,,,
Grade 2,Social Studies,Pinagmulan at Kasaysayan ng Komunidad: Pinagmulan ng pangalan at mga makasaysayang kwento,,,,
Grade 2,Social Studies,Ang Timeline o Pagkakasunod-sunod ng mga Mahahalagang Pangyayari sa Komunidad,,,,
Grade 2,Social Studies,"Mga Pagbabago sa Komunidad noon at ngayon (estruktura, transportasyon, pananamit, populasyon, kapaligiran)",,,,
Grade 2,Social Studies,Mga Bagay na Nanatili o Hindi Nagbago sa Komunidad,,,,
Grade 2,Social Studies,"Mga Makasaysayang Sagisag, Bantayog, Monumento, at Mahahalagang Gusali sa Komunidad",,,,
Grade 2,Social Studies,Mga Natatanging Bayani at Kilalang Personalidad mula sa sariling komunidad o rehiyon,,,,
Grade 2,Social Studies,"Kultura at Tradisyon sa Komunidad: Mga pagdiriwang na pansibiko (Araw ng Kagitingan, Araw ng Kalayaan, Buwan ng Wika)",,,,
Grade 2,Social Studies,"Kultura at Tradisyon sa Komunidad: Mga pagdiriwang na panrelihiyon (Pasko, Mahal na Araw, Eid al-Fitr, pista ng patron)",,,,
Grade 2,Social Studies,"Mga Kaugalian, Paniniwala, at Pamahiin sa Komunidad",,,,
Grade 2,Social Studies,"Sining, Musika, Katutubong Sayaw, Laro ng Lahi, at Pagkaing Tradisyonal sa Komunidad",,,,
Grade 2,Social Studies,"Paggalang sa pagkakaiba-iba ng kultura, wika/diyalekto, at paniniwala ng mga tao sa komunidad",,,,
Grade 2,Social Studies,"Kabuhayan at Ekonomiya sa Komunidad: Mga pangunahing hanapbuhay (magsasaka, mangingisda, guro, negosyante, karpintero)",,,,
Grade 2,Social Studies,Pagkakaiba ng Produkto (mga nahahawakang bagay) at Serbisyo (paglilingkod o kasanayan),,,,
Grade 2,Social Studies,Pagtutugon ng komunidad sa mga pangunahing pangangailangan ng mamamayan,,,,
Grade 2,Social Studies,"Konsepto ng Palitan, Pamilihan, at Pera sa ekonomiya ng komunidad",,,,
Grade 2,Social Studies,Pamahalaan sa Komunidad: Ang Pamahalaang Barangay at ang Sangguniang Barangay,,,,
Grade 2,Social Studies,"Mga Pinuno ng Komunidad: Punong Barangay (Barangay Captain), mga Kagawad, at SK Chairman",,,,
Grade 2,Social Studies,"Gampanin, tungkulin, at serbisyo ng mga pinuno ng barangay sa mga mamamayan",,,,
Grade 2,Social Studies,"Katangian ng isang mabuti, tapat, at responsableng pinuno",,,,
Grade 2,Social Studies,"Mga Batas, Kautusan (Ordinansa), at Alituntunin sa Komunidad (trapiko, curfew, kalinisan)",,,,
Grade 2,Social Studies,Kahalagahan ng pagsunod sa mga alituntunin at batas ng barangay,,,,
Grade 2,Social Studies,"Karapatan ng Bawat Kasapi ng Komunidad (karapatang mabuhay, mag-aral, magkaroon ng ligtas na tahanan, maglibang)",,,,
Grade 2,Social Studies,"Tungkulin ng Bawat Kasapi ng Komunidad (paggalang sa kapwa, pagiging masunurin, pagtulong sa kapwa)",,,,
Grade 2,Social Studies,Pangangalaga sa Kapaligiran ng Komunidad: Tamang pagtatapon at paghihiwalay ng basura (Waste Segregation),,,,
Grade 2,Social Studies,"Pagtatanim ng puno, paglilinis ng mga kanal at daan (Clean and Green programs)",,,,
Grade 2,Social Studies,"Paghahanda sa Kalamidad at Sakuna: Lindol, baha, bagyo, sunog, pagputok ng bulkan",,,,
Grade 2,Social Studies,"Mga Hakbang Pangkaligtasan bago, habang, at pagkatapos ng kalamidad (Duck, Cover, and Hold; paglikas)",,,,
Grade 2,Social Studies,Ang Emergency Go-Bag at mga gamit na dapat ilagay dito,,,,
Grade 2,Social Studies,"Mga Ahensya at Hotline sa Komunidad para sa Saklolo at Kaligtasan (PNP, BFP, MDRRMO, Red Cross, Health Center)",,,,
Grade 2,Social Studies,Pagtutulungan sa Komunidad: Konsepto ng Bayanihan at Damayan sa panahon ng kagipitan,,,,
Grade 2,Social Studies,Pagtupad sa tungkulin bilang isang batang mamamayan para sa ikabubuti ng sariling pamayanan,,,,
Grade 3,Science,"Classification of matter: Solids, liquids, and gases",,,,
Grade 3,Science,"Physical properties of solids (shape, mass, volume, color, texture, hardness, flexibility)",,,,
Grade 3,Science,"Physical properties of liquids (ability to flow, viscosity, surface tension, taking container shape)",,,,
Grade 3,Science,"Physical properties of gases (invisibility, compressibility, expansion, mass, volume)",,,,
Grade 3,Science,"Measuring properties of matter using standard lab equipment (graduated cylinder, triple beam balance, ruler, thermometer)",,,,
Grade 3,Science,Phase changes of matter: Melting (solid to liquid),,,,
Grade 3,Science,Phase changes of matter: Freezing / Solidification (liquid to solid),,,,
Grade 3,Science,Phase changes of matter: Evaporation (liquid to gas),,,,
Grade 3,Science,Phase changes of matter: Condensation (gas to liquid),,,,
Grade 3,Science,Phase changes of matter: Sublimation (solid to gas) and Deposition (gas to solid),,,,
Grade 3,Science,Effect of temperature increase and decrease on particle movement,,,,
Grade 3,Science,"Physical changes in matter (cutting, tearing, crumpling, bending, stretching)",,,,
Grade 3,Science,"Chemical changes in matter (rusting, burning, rotting, cooking, color change, gas release)",,,,
Grade 3,Science,"Safe handling, storage, and disposal of hazardous household materials (toxic, flammable, corrosive, reactive)",,,,
Grade 3,Science,Reading hazard warning symbols and safety labels on chemicals,,,,
Grade 3,Science,"Human sense organs structure, function, and care: The Eye (cornea, pupil, iris, lens, retina, optic nerve)",,,,
Grade 3,Science,"Common eye ailments (myopia, hyperopia, astigmatism, conjunctivitis/sore eyes) and eye care",,,,
Grade 3,Science,"Human sense organs structure, function, and care: The Ear (outer ear, ear canal, eardrum, middle ear bones, cochlea, auditory nerve)",,,,
Grade 3,Science,Common ear problems and proper ear hygiene,,,,
Grade 3,Science,"Human sense organs structure, function, and care: The Nose (nostrils, nasal cavity, olfactory nerve)",,,,
Grade 3,Science,Common nasal ailments and nasal care,,,,
Grade 3,Science,"Human sense organs structure, function, and care: The Tongue (taste buds: sweet, sour, salty, bitter, umami)",,,,
Grade 3,Science,Tongue diseases and oral hygiene practices,,,,
Grade 3,Science,"Human sense organs structure, function, and care: The Skin (epidermis, dermis, sweat glands, nerve endings)",,,,
Grade 3,Science,Common skin conditions and daily skin protection,,,,
Grade 3,Science,Animals: External body parts specialized for getting and eating food,,,,
Grade 3,Science,"Animals: External body parts specialized for locomotion in water, air, and land",,,,
Grade 3,Science,"Animals: External body parts specialized for defense and protection (camouflage, mimicry, armor, quills, venom)",,,,
Grade 3,Science,"Classifying animals by body covering (fur, feathers, scales, exoskeleton, shell)",,,,
Grade 3,Science,"Classifying animals by habitat (terrestrial, aquatic, aerial, arboreal, subterranean)",,,,
Grade 3,Science,Classifying animals by reproduction and birth methods (oviparous/egg-laying vs. viviparous/live-bearing),,,,
Grade 3,Science,"Complete metamorphosis life cycle (egg, larva, pupa, adult: butterfly, mosquito, housefly)",,,,
Grade 3,Science,"Incomplete metamorphosis life cycle (egg, nymph, adult: grasshopper, cockroach, dragonfly)",,,,
Grade 3,Science,Life cycle of amphibians (frog) and reptiles (sea turtle),,,,
Grade 3,Science,"Life cycle of birds (chicken, eagle)",,,,
Grade 3,Science,"Life cycle of mammals (dog, cat, human)",,,,
Grade 3,Science,Economic and ecological importance of animals to humans and the environment,,,,
Grade 3,Science,"Endangered, threatened, and extinct animal species and wildlife conservation",,,,
Grade 3,Science,"Plants: Specialized external structures of roots (taproot vs. fibrous root systems, aerial roots)",,,,
Grade 3,Science,"Plants: Specialized external structures of stems (woody trunks, soft herbaceous stems, runners, tubers)",,,,
Grade 3,Science,"Plants: Leaf morphology (vein patterns: parallel vs. netted/pinnate, simple vs. compound leaves)",,,,
Grade 3,Science,"Plants: Flower anatomy (petals, sepals, stamen/anther/filament, pistil/stigma/style/ovary)",,,,
Grade 3,Science,"Role of flowers and pollinators (bees, butterflies, wind) in plant reproduction",,,,
Grade 3,Science,Fruit structures and seed protection,,,,
Grade 3,Science,"Seed anatomy (seed coat, embryo, cotyledon: monocot vs. dicot seeds)",,,,
Grade 3,Science,Stages of seed germination and necessary environmental conditions,,,,
Grade 3,Science,"Methods of plant propagation (seeds, cuttings, runners, tubers, grafting)",,,,
Grade 3,Science,"Plant adaptations to specific habitats (hydrophytes/water, xerophytes/desert, epiphytes/air, mesophytes)",,,,
Grade 3,Science,Economic and medicinal importance of local plants,,,,
Grade 3,Science,"Harmful, poisonous, and invasive plant species",,,,
Grade 3,Science,"Interactions in ecosystems: Producers, consumers (herbivores, carnivores, omnivores), and decomposers",,,,
Grade 3,Science,Constructing and interpreting simple food chains and food webs,,,,
Grade 3,Science,Predator-prey relationships and competition in habitats,,,,
Grade 3,Science,"Forces: Contact forces (muscular, applied, friction, tension, air resistance)",,,,
Grade 3,Science,"Forces: Non-contact forces (gravitational force, magnetic force, electrostatic force)",,,,
Grade 3,Science,"Effects of force on the size, shape, speed, and direction of moving objects",,,,
Grade 3,Science,"Factors affecting friction (texture of surfaces, mass/weight of the moving object)",,,,
Grade 3,Science,"Ways to increase friction (treads, grooved surfaces) and reduce friction (lubricants, rollers, wheels)",,,,
Grade 3,Science,"Magnets: Magnetic poles (North and South), laws of attraction and repulsion",,,,
Grade 3,Science,Magnetic fields and magnetic vs. non-magnetic materials,,,,
Grade 3,Science,Light: Natural vs. artificial light sources,,,,
Grade 3,Science,Properties of light: Straight-line travel (rectilinear propagation),,,,
Grade 3,Science,"Behavior of light on matter: Transparent, translucent, and opaque objects",,,,
Grade 3,Science,Shadow formation: Changing length and direction of shadows based on light angle,,,,
Grade 3,Science,Reflection of light: Flat/plane mirrors and smooth reflective surfaces,,,,
Grade 3,Science,"Refraction of light: Bending of light passing through different media (water, glass prisms)",,,,
Grade 3,Science,Sound: Vibration as the source of sound,,,,
Grade 3,Science,"Mediums of sound transmission (comparing speed of sound in solids, liquids, and gases)",,,,
Grade 3,Science,Pitch (high vs. low frequency) and Volume / Loudness (amplitude of vibration),,,,
Grade 3,Science,Echoes and sound reflection,,,,
Grade 3,Science,Noise pollution: Effects on hearing health and noise reduction techniques,,,,
Grade 3,Science,"Heat: Sources of thermal energy (Sun, chemical reactions, electrical appliances, friction)",,,,
Grade 3,Science,Conduction: Transfer of heat through direct solid contact,,,,
Grade 3,Science,Convection basics: Transfer of heat through fluids and gases,,,,
Grade 3,Science,Radiation basics: Transfer of heat across space without matter,,,,
Grade 3,Science,"Effects of heat on matter: Thermal expansion, contraction, and temperature changes",,,,
Grade 3,Science,"Heat conductors (metals) vs. Heat insulators (wood, plastic, rubber, foam)",,,,
Grade 3,Science,Electricity: Mains electricity vs. battery power,,,,
Grade 3,Science,Conductors of electricity vs. Electrical insulators,,,,
Grade 3,Science,Basic electrical safety rules and fire prevention at home and school,,,,
Grade 3,Science,"Earth's surface features: Major landforms (mountains, mountain ranges, hills, valleys, plains, plateaus, volcanoes, peninsulas, islands)",,,,
Grade 3,Science,"Earth's surface features: Major bodies of water (oceans, seas, rivers, lakes, waterfalls, gulfs, bays, straits, underground springs)",,,,
Grade 3,Science,"Soil layers: Topsoil, subsoil, and bedrock",,,,
Grade 3,Science,"Types of soil: Clay, sand, silt, and loam (water retention, drainage, and fertility for plant growth)",,,,
Grade 3,Science,"Soil erosion: Causes (running water, wind, deforestation, overgrazing) and effects on farmland",,,,
Grade 3,Science,"Soil conservation methods (terracing, planting cover crops, reforestation, contour farming)",,,,
Grade 3,Science,Water resources: Fresh water vs. Salt water distribution,,,,
Grade 3,Science,"The Water Cycle: Detailed mechanisms of evaporation, transpiration, condensation, precipitation, and groundwater collection",,,,
Grade 3,Science,"Water pollution: Causes (industrial waste, agricultural runoff, household garbage) and water conservation techniques",,,,
Grade 3,Science,"Weather elements: Air temperature, air pressure, humidity, wind speed, wind direction, cloud cover, and precipitation",,,,
Grade 3,Science,"Weather instruments: Thermometer, Barometer, Hygrometer, Anemometer, Wind Vane, Rain Gauge",,,,
Grade 3,Science,"Identifying cloud types (cirrus, cumulus, stratus, cumulonimbus) and predicting weather",,,,
Grade 3,Science,"Public Storm Warning Signals (typhoon signal levels, warnings, and safety precautions)",,,,
Grade 3,Science,"Natural hazards and disaster preparedness: Typhoons, flash floods, landslides, earthquakes, volcanic eruptions, tsunamis",,,,
Grade 3,Science,"Emergency readiness: Emergency grab-bags, family evacuation plans, and first-aid basics",,,,
Grade 3,Science,"The Sun: Composition, distance, and role as the primary energy source for Earth",,,,
Grade 3,Science,"Positive effects of sunlight (photosynthesis, water cycle driver, vitamin D synthesis, solar energy)",,,,
Grade 3,Science,"Negative effects of excessive sunlight (sunburn, heatstroke, eye damage, plant dehydration)",,,,
Grade 3,Science,"Sun protection methods (sunscreen, sunglasses, umbrellas, staying hydrated)",,,,
Grade 3,Science,"Earth's rotation on its axis: 24-hour cycle, cause of day and night, apparent movement of the Sun across the sky",,,,
Grade 3,Science,Earth's revolution around the Sun: 365.25 days and seasonal patterns,,,,
Grade 3,Science,"The Moon: Natural satellite of Earth, light reflection from the Sun",,,,
Grade 3,Science,"Phases of the Moon: New Moon, Waxing Crescent, First Quarter, Waxing Gibbous, Full Moon, Waning Gibbous, Third Quarter, Waning Crescent",,,,
Grade 3,Science,Moon's gravitational pull and the rise and fall of ocean tides,,,,
Grade 3,Science,"Stars: Constellations, patterns, brightness, and distance from Earth",,,,
Grade 3,Science,Scientific inquiry: Formulating testable questions and hypotheses,,,,
Grade 3,Science,"Scientific inquiry: Identifying controlled, independent, and dependent variables in simple fair tests",,,,
Grade 3,Science,Scientific inquiry: Making systematic quantitative and qualitative observations,,,,
Grade 3,Science,"Scientific inquiry: Recording, organizing, and graphing experimental data (tables, bar charts, line graphs)",,,,
Grade 3,Science,Scientific inquiry: Drawing evidence-based conclusions and presenting scientific findings,,,,
Grade 3,Math,"Counting whole numbers up to 10,000",,,,
Grade 3,Math,"Reading and writing numbers up to 10,000 in symbols and words",,,,
Grade 3,Math,"Place value of 4-digit numbers (thousands, hundreds, tens, ones)",,,,
Grade 3,Math,Value vs. place value of digits in a 4-digit number,,,,
Grade 3,Math,Composing and decomposing 4-digit numbers using base-ten units,,,,
Grade 3,Math,"Expanded form of 4-digit numbers (e.g., 4,582 = 4,000 + 500 + 80 + 2)",,,,
Grade 3,Math,"Comparing 4-digit numbers using relation symbols (>, <, =)",,,,
Grade 3,Math,Ordering 4-digit numbers in ascending and descending order,,,,
Grade 3,Math,"Identifying the number that comes before, after, and between given 4-digit numbers",,,,
Grade 3,Math,"Rounding whole numbers to the nearest ten, hundred, and thousand",,,,
Grade 3,Math,Ordinal numbers from 21st to 100th and beyond,,,,
Grade 3,Math,"Identifying and writing even and odd numbers up to 1,000",,,,
Grade 3,Math,Addition of numbers up to 4 digits without regrouping,,,,
Grade 3,Math,Addition of numbers up to 4 digits with regrouping (carrying) across multiple place values,,,,
Grade 3,Math,Mental addition of 2-digit and 3-digit numbers using various strategies,,,,
Grade 3,Math,"Properties of addition (Commutative, Associative, Identity/Zero properties)",,,,
Grade 3,Math,"Estimating sums by rounding numbers to the nearest ten, hundred, or thousand",,,,
Grade 3,Math,Solving 1-step to 2-step word problems involving addition of 4-digit numbers,,,,
Grade 3,Math,Subtraction of numbers up to 4 digits without regrouping,,,,
Grade 3,Math,Subtraction of numbers up to 4 digits with regrouping (borrowing) across multiple place values,,,,
Grade 3,Math,"Subtracting across multiple zeros (e.g., 5,000 - 2,347)",,,,
Grade 3,Math,Mental subtraction strategies for 2-digit and 3-digit numbers,,,,
Grade 3,Math,Estimating differences by rounding numbers,,,,
Grade 3,Math,Checking subtraction answers using addition (inverse operations),,,,
Grade 3,Math,Solving 1-step to 2-step word problems involving subtraction of 4-digit numbers,,,,
Grade 3,Math,Solving multi-step word problems involving both addition and subtraction,,,,
Grade 3,Math,"Concept of multiplication as repeated addition, equal groups, arrays, and scale factors",,,,
Grade 3,Math,"Multiplication terms and symbols (factors, product, multiplication sign x)",,,,
Grade 3,Math,Multiplication tables and basic facts up to 10 x 10 and 12 x 12,,,,
Grade 3,Math,"Properties of multiplication (Commutative, Associative, Identity Property of 1, Zero Property)",,,,
Grade 3,Math,Distributive property of multiplication over addition,,,,
Grade 3,Math,Multiplying 1-digit numbers by multi-digit numbers (up to 3 digits) without regrouping,,,,
Grade 3,Math,Multiplying 1-digit numbers by multi-digit numbers with regrouping,,,,
Grade 3,Math,Multiplying 2-digit numbers by 2-digit numbers without and with regrouping,,,,
Grade 3,Math,"Multiplying numbers by 10, 100, and 1,000 using mental math patterns",,,,
Grade 3,Math,Estimating products of multi-digit numbers,,,,
Grade 3,Math,Solving 1-step and 2-step word problems involving multiplication,,,,
Grade 3,Math,Concept of multiplication and division inverse relationship (fact families),,,,
Grade 3,Math,"Concept of division as equal sharing, equal grouping, repeated subtraction, and inverse of multiplication",,,,
Grade 3,Math,"Division terms and symbols (dividend, divisor, quotient, division sign ÷ or long division bracket)",,,,
Grade 3,Math,Division facts corresponding to multiplication tables up to 10 x 10 and 12 x 12,,,,
Grade 3,Math,"Rules of division involving zero and one (e.g., dividing by 1, dividing zero by a number, division by zero is undefined)",,,,
Grade 3,Math,Dividing 2-digit to 3-digit numbers by 1-digit numbers without remainders,,,,
Grade 3,Math,Dividing 2-digit to 3-digit numbers by 1-digit numbers with remainders,,,,
Grade 3,Math,"Dividing multi-digit numbers by multiples of 10 (e.g., 240 ÷ 30)",,,,
Grade 3,Math,Estimating quotients of division problems,,,,
Grade 3,Math,Solving 1-step and 2-step word problems involving division and remainders,,,,
Grade 3,Math,Combined operations and order of operations basics (performing multiplication and division before addition and subtraction from left to right),,,,
Grade 3,Math,Fractions: Concept of parts of a whole and parts of a set,,,,
Grade 3,Math,"Proper fractions, improper fractions, and mixed numbers",,,,
Grade 3,Math,"Reading, writing, and illustrating fractions (unit and non-unit fractions)",,,,
Grade 3,Math,Equivalent fractions using visual models and number lines,,,,
Grade 3,Math,Simplifying / reducing fractions to lowest terms (introductory),,,,
Grade 3,Math,"Comparing and ordering fractions with like denominators (e.g., 3/8 vs. 5/8)",,,,
Grade 3,Math,"Comparing and ordering fractions with like numerators (e.g., 2/5 vs. 2/3)",,,,
Grade 3,Math,Comparing fractions to one-half (1/2) as a benchmark,,,,
Grade 3,Math,Adding and subtracting similar fractions (fractions with the same denominator),,,,
Grade 3,Math,Solving word problems involving addition and subtraction of similar fractions,,,,
Grade 3,Math,Decimals: Concept of tenths and hundredths as fractions of a whole,,,,
Grade 3,Math,"Reading and writing decimal numbers up to two decimal places (e.g., 0.5, 3.75)",,,,
Grade 3,Math,Relating fractions with denominators of 10 and 100 to decimals,,,,
Grade 3,Math,Comparing and ordering decimals up to hundredths,,,,
Grade 3,Math,Adding and subtracting decimals up to two decimal places without and with regrouping,,,,
Grade 3,Math,Solving simple word problems involving decimals,,,,
Grade 3,Math,"Identifying 2D geometric shapes (polygon, triangle types by sides: equilateral, isosceles, scalene)",,,,
Grade 3,Math,"Classifying triangles by angles (acute, right, obtuse triangles)",,,,
Grade 3,Math,"Quadrilaterals: Identifying properties of squares, rectangles, parallelograms, trapezoids, rhombuses",,,,
Grade 3,Math,"Polygon attributes: Counting sides, angles, and vertices of regular and irregular polygons",,,,
Grade 3,Math,"Line segments, rays, lines, intersecting lines, parallel lines, and perpendicular lines",,,,
Grade 3,Math,"Angles: Identifying right angles, acute angles, and obtuse angles using a square corner tester or protractor intro",,,,
Grade 3,Math,"Identifying 3D solid figures (cube, rectangular prism, sphere, cylinder, cone, square pyramid)",,,,
Grade 3,Math,"Counting faces, edges, and vertices of 3D solid shapes",,,,
Grade 3,Math,Nets of simple 3D geometric figures (cubes and rectangular prisms),,,,
Grade 3,Math,Lines of symmetry in 2D shapes and figures (identifying single and multiple lines of symmetry),,,,
Grade 3,Math,Tessellations: Covering a plane with shapes without gaps or overlaps,,,,
Grade 3,Math,"Repeating, growing, and shrinking patterns with numbers, shapes, and letters",,,,
Grade 3,Math,Finding the missing terms and determining the underlying rule in a number sequence,,,,
Grade 3,Math,"Metric units of length measurement: Millimeter (mm), Centimeter (cm), Meter (m), and Kilometer (km)",,,,
Grade 3,Math,"Converting between metric units of length (e.g., meters to centimeters, kilometers to meters)",,,,
Grade 3,Math,"Measuring and estimating lengths, heights, and distances using standard instruments",,,,
Grade 3,Math,Metric units of mass/weight measurement: Gram (g) and Kilogram (kg),,,,
Grade 3,Math,Converting between grams and kilograms,,,,
Grade 3,Math,Measuring and comparing weights of objects using balance and digital scales,,,,
Grade 3,Math,Metric units of volume/capacity measurement: Milliliter (mL) and Liter (L),,,,
Grade 3,Math,Converting between milliliters and liters,,,,
Grade 3,Math,"Solving word problems involving length, mass, and capacity measurements",,,,
Grade 3,Math,"Perimeter of polygons (triangles, rectangles, squares, and irregular shapes) by adding side lengths",,,,
Grade 3,Math,Perimeter formulas for squares ($P = 4 \times s$) and rectangles ($P = 2l + 2w$),,,,
Grade 3,Math,"Concept of area as covering a surface using square units ($cm^2, m^2$)",,,,
Grade 3,Math,Measuring area by counting square units on a grid,,,,
Grade 3,Math,Area formula for rectangles ($A = length \times width$) and squares ($A = side \times side$),,,,
Grade 3,Math,Concept of volume of solid figures using cubic units ($cm^3$),,,,
Grade 3,Math,Time: Telling and writing time to the nearest minute on analog and digital clocks,,,,
Grade 3,Math,Using elapsed time in hours and minutes across a timeline,,,,
Grade 3,Math,"Converting units of time (seconds to minutes, minutes to hours, hours to days, days to weeks/months, months to years)",,,,
Grade 3,Math,Solving word problems involving elapsed time and schedules,,,,
Grade 3,Math,Money: Reading and writing Philippine currency (or general currency) up to thousands using the peso sign (₱) and decimal point,,,,
Grade 3,Math,Counting and comparing mixed sets of bills and coins,,,,
Grade 3,Math,"Calculating total cost, receiving correct change, and managing simple budgets",,,,
Grade 3,Math,Solving multi-step money word problems involving purchase and change,,,,
Grade 3,Math,"Data collection: Designing simple surveys, tallying data, and organizing frequency tables",,,,
Grade 3,Math,"Reading, constructing, and interpreting vertical and horizontal bar graphs with varied scales (e.g., scales of 2, 5, 10, 100)",,,,
Grade 3,Math,"Reading and interpreting pictographs with multi-value keys (e.g., 1 icon = 5 or 10 items)",,,,
Grade 3,Math,Reading and interpreting simple line graphs showing trends over time,,,,
Grade 3,Math,"Basic introduction to probability (describing events as certain, likely, equally likely, unlikely, or impossible)",,,,
Grade 3,Math,"Analyzing data sets to find the mode, greatest value, least value, and total frequency",,,,
Grade 3,English,Alphabetical order to the third and fourth letters of words,,,,
Grade 3,English,"Phonics review: complex vowel digraphs and diphthongs (ai, ay, ee, ea, oa, oe, ui, ue, oi, oy, ou, ow, au, aw)",,,,
Grade 3,English,"Phonics: variant vowel spellings (e.g., oo as in book vs. oo as in moon, al, all, alk)",,,,
Grade 3,English,"R-controlled vowel syllables (ar, er, ir, or, ur, are, air, ear, ore, oor)",,,,
Grade 3,English,"Consonant digraphs, trigraphs, and quadgraphs (tch, dge, ph, gh, eigh)",,,,
Grade 3,English,"Silent letter combinations (kn, wr, gn, mb, rh, sc)",,,,
Grade 3,English,"Advanced syllabication rules (dividing multisyllabic words using V/CV, VC/V, VC/CV patterns)",,,,
Grade 3,English,Decoding multisyllabic academic and informational words,,,,
Grade 3,English,High-frequency and grade-level sight words mastery,,,,
Grade 3,English,"Morphemic analysis: Greek and Latin roots (e.g., bio, tele, phon, graph, auto)",,,,
Grade 3,English,"Prefixes and their meaning changes (un-, re-, dis-, pre-, mis-, non-, im-, in-, bi-, tri-)",,,,
Grade 3,English,"Suffixes and grammatical role changes (-ful, -less, -able, -ible, -ly, -ness, -ment, -er, -est, -tion, -sion)",,,,
Grade 3,English,"Spelling rules: doubling final consonants, dropping final e, changing y to i before suffixes",,,,
Grade 3,English,"Compound words (closed, open, and hyphenated compound words)",,,,
Grade 3,English,"Contractions review and advanced forms (should've, would've, must've, won't)",,,,
Grade 3,English,"Synonyms, antonyms, and shades of meaning (e.g., walk, march, stroll, stride)",,,,
Grade 3,English,"Homophones, homographs, and homonyms differentiated in context",,,,
Grade 3,English,Multiple-meaning words and determining intended meaning using sentence context,,,,
Grade 3,English,"Idiomatic expressions and common figurative language (similes, metaphors, hyperbole, personification intro)",,,,
Grade 3,English,"Using context clues (definition, restatement, example, contrast) to determine word meanings",,,,
Grade 3,English,"Using reference materials: print and online dictionaries, glossaries, and thesauruses",,,,
Grade 3,English,"Alphabetical guide words, entry words, pronunciation guides, parts of speech labels, and definitions in a dictionary",,,,
Grade 3,English,"Nouns review: common nouns, proper nouns, and concrete nouns",,,,
Grade 3,English,"Abstract nouns (e.g., honesty, bravery, love, peace, courage)",,,,
Grade 3,English,"Singular and regular plural nouns (rules for -s, -es, -ies, -ves)",,,,
Grade 3,English,"Irregular plural nouns (e.g., crisis/crises, cactus/cacti, datum/data, ox/oxen)",,,,
Grade 3,English,"Collective nouns for groups of people, animals, and objects (e.g., committee, pride of lions, bouquet of flowers)",,,,
Grade 3,English,Singular possessive nouns vs. plural possessive nouns (apostrophe placement rules),,,,
Grade 3,English,Countable vs. mass / non-countable nouns and expressions of quantity,,,,
Grade 3,English,"Personal pronouns: subject pronouns (I, you, he, she, it, we, they) and object pronouns (me, you, him, her, it, us, them)",,,,
Grade 3,English,"Possessive pronouns (mine, yours, his, hers, its, ours, theirs) vs. possessive adjectives (my, your, his, her, its, our, their)",,,,
Grade 3,English,"Reflexive and intensive pronouns (myself, yourself, himself, herself, itself, ourselves, yourselves, themselves)",,,,
Grade 3,English,"Demonstrative pronouns and demonstrative adjectives (this, that, these, those)",,,,
Grade 3,English,"Relative pronouns basics (who, whom, whose, which, that)",,,,
Grade 3,English,"Indefinite pronouns (someone, everybody, nobody, anything, few, several, many)",,,,
Grade 3,English,Action verbs: physical and mental actions,,,,
Grade 3,English,"State-of-being and linking verbs (am, is, are, was, were, be, being, been, seem, appear)",,,,
Grade 3,English,"Helping / auxiliary verbs and modal verbs (can, could, may, might, must, should, would, will)",,,,
Grade 3,English,"Subject-verb agreement: singular/plural subjects, compound subjects joined by 'and'/'or'",,,,
Grade 3,English,"Simple present, simple past, and simple future tenses",,,,
Grade 3,English,"Past tense of irregular verbs (e.g., caught, bought, freeze/froze, fly/flew, teach/taught)",,,,
Grade 3,English,Present perfect tense (has/have + past participle),,,,
Grade 3,English,Past perfect tense (had + past participle),,,,
Grade 3,English,Future perfect tense (will have + past participle),,,,
Grade 3,English,"Progressive / continuous verb tenses (present progressive, past progressive, future progressive)",,,,
Grade 3,English,"Descriptive adjectives, coordinate adjectives, and cumulative adjectives",,,,
Grade 3,English,"Adjectives of quantity, number, and order (ordinal adjectives)",,,,
